,nets
0,219
1,11
2,24
3,74
4,292
5,208
6,182
7,204
8,99
9,258
10,129
11,57
12,282
13,116
14,75
15,163
16,111
17,69
18,146
19,235
20,52
21,110
22,185
23,192
24,84
25,55
26,298
27,15
28,83
29,244
30,63
31,123
32,98
33,26
34,236
35,133
36,72
37,234
38,266
39,125
40,43
41,153
42,254
43,92
44,263
45,25
46,105
47,78
48,37
49,76
50,186
51,109
52,158
53,81
54,221
55,177
56,270
57,241
58,220
59,138
60,73
61,170
62,268
63,80
64,150
65,252
66,54
67,95
68,291
69,21
70,249
71,128
72,151
73,212
74,201
75,200
76,225
77,49
