,nets
0,280
1,73
2,293
3,275
4,90
5,67
6,88
7,4
8,124
9,15
10,157
11,278
12,170
13,55
14,181
15,295
16,208
17,109
18,46
19,206
20,219
21,39
22,165
23,110
24,152
25,74
26,18
27,108
28,221
29,49
30,234
31,172
32,245
33,282
34,287
35,189
36,125
37,40
38,213
39,191
40,151
41,134
42,63
43,281
44,185
45,106
46,184
47,96
48,299
49,66
50,222
51,300
52,77
53,45
54,114
55,231
56,29
57,264
58,273
59,290
60,258
61,92
62,297
63,192
64,83
65,171
66,81
67,241
68,52
69,261
70,187
71,156
72,121
73,212
74,292
75,115
76,195
77,28
78,5
79,180
80,159
81,158
82,117
83,120
84,254
85,87
86,97
87,70
88,167
89,162
90,153
91,6
92,260
93,50
94,72
95,139
