,Unnamed: 0,x,y,class,realclass
290,290,0.1810897985364458,0.3176113753951965,0,0
172,172,0.9191686886305998,0.6365897381171675,0,0
262,262,0.5988276605346023,0.4968242684107093,1,1
176,176,0.6332713570427713,0.5347361924176134,1,1
184,184,0.2429046998826756,0.2048367147681536,1,1
254,254,0.8840192577172398,0.6587313130278549,0,0
30,30,0.028406023241866807,0.6606277463699036,0,0
8,8,0.22647529063859465,0.5162717339583857,1,0
102,102,0.4713286408490993,0.7133965525191511,0,0
28,28,0.7012736172332479,0.1676029604043313,0,1
206,206,0.1718836978822672,0.6492345863587997,0,0
104,104,0.8465615080072596,0.9059366223738295,0,0
76,76,0.8978597303169521,0.9054730467657858,0,0
80,80,0.02404432716741212,0.2296423052922314,1,1
218,218,0.3392944139378405,0.6687492734961009,0,0
40,40,0.9202086322506912,0.6067561966156858,0,0
76,76,0.8978597303169521,0.9054730467657858,0,0
264,264,0.7233678217869768,0.8396916169681932,0,0
254,254,0.8840192577172398,0.6587313130278549,0,0
244,244,0.7702579851524385,0.9830223698031773,0,0
146,146,0.06254653022966916,0.22297495824807512,1,1
64,64,0.908696192861536,0.5872093167813265,1,1
200,200,0.3136361609077407,0.5317252284200907,0,0
130,130,0.8088336208496899,0.451457326957786,1,1
194,194,0.3948054424265498,0.02261144050937558,1,1
112,112,0.3713402651798032,0.2984263029725157,0,0
274,274,0.6313791314666808,0.8145038598363712,0,0
120,120,0.7737893602916518,0.7304841788882583,0,0
246,246,0.31933024953544475,0.7816214484123459,0,0
6,6,0.14067106021701206,0.3644395027287455,1,0
128,128,0.7289548844129679,0.5148265315100035,1,1
80,80,0.02404432716741212,0.2296423052922314,1,1
220,220,0.7736533783977599,0.11804261767900948,1,1
224,224,0.07895562714808257,0.8289246682400296,0,0
204,204,0.7851512371499222,0.13356761115169302,1,1
98,98,0.7360628192277092,0.11298316278759425,1,1
0,0,0.020960225406117416,0.02355250426960653,0,1
252,252,0.14058184109494154,0.7596164740893725,0,0
154,154,0.17581464706318572,0.08413470182410633,1,1
164,164,0.2485798307445116,0.2787743567112133,0,0
