,nets
0,201
1,238
2,117
3,126
4,53
5,27
6,257
7,54
8,163
9,183
10,234
11,292
12,18
13,169
14,107
15,210
16,211
17,38
18,24
19,254
20,284
21,110
22,159
23,240
24,264
25,92
26,65
27,141
28,223
29,214
30,111
31,269
32,138
33,200
34,68
35,265
36,273
37,236
38,229
39,246
40,256
41,124
42,120
43,125
44,231
45,84
46,97
47,279
48,165
49,67
50,206
51,64
52,250
53,153
54,271
55,275
56,45
57,289
58,152
59,47
60,150
61,115
62,51
63,96
64,287
65,172
66,144
67,34
68,278
69,66
70,1
71,162
72,104
73,98
74,86
75,203
76,170
77,23
78,26
79,178
80,94
81,237
82,241
83,121
84,208
85,243
86,202
87,95
88,274
89,179
90,118
