,nets
0,163
1,63
2,156
3,256
4,30
5,234
6,269
7,194
8,22
9,170
10,168
11,64
12,220
13,114
14,49
15,78
16,68
17,66
18,137
19,118
20,196
21,286
22,77
23,4
24,13
25,180
26,18
27,299
28,242
29,197
30,244
31,86
32,27
33,183
34,138
35,40
36,29
37,43
38,202
39,116
40,88
41,188
42,165
43,127
44,54
45,47
46,158
47,1
48,14
49,109
50,297
51,260
52,104
53,219
54,126
55,92
56,37
57,221
58,182
59,36
60,53
61,124
62,252
63,227
64,96
65,56
66,84
67,184
68,230
69,174
70,148
71,34
72,262
73,259
74,122
75,23
76,45
77,28
78,212
79,33
80,135
81,190
82,16
83,195
84,83
85,9
86,246
87,144
88,192
89,232
90,46
91,128
92,284
93,160
94,95
95,204
96,171
97,225
