,nets
0,271
1,186
2,264
3,138
4,182
5,90
6,153
7,33
8,292
9,106
10,165
11,163
12,145
13,61
14,103
15,154
16,1
17,85
18,113
19,189
20,75
21,287
22,224
23,250
24,244
25,274
26,233
27,198
28,193
29,300
30,41
31,187
32,220
33,46
34,226
35,12
36,216
37,79
38,234
39,255
40,258
41,219
42,227
43,212
44,239
45,156
46,92
47,285
48,122
49,14
50,109
51,127
52,118
53,136
54,19
55,194
56,28
57,59
58,169
59,206
60,296
61,20
62,168
63,48
64,44
65,235
66,83
67,210
68,181
69,238
70,203
71,66
72,170
73,214
74,129
75,86
76,291
77,101
78,202
79,211
80,123
81,190
82,119
83,279
84,253
85,149
86,65
87,63
88,15
