,nets
0,268
1,1
2,208
3,27
4,139
5,71
6,203
7,91
8,114
9,221
10,29
11,13
12,191
13,100
14,20
15,154
16,294
17,190
18,120
19,36
20,112
21,238
22,195
23,92
24,252
25,251
26,255
27,247
28,98
29,21
30,30
31,115
32,81
33,119
34,147
35,240
36,82
37,57
38,149
39,160
40,264
41,87
42,52
43,198
44,138
45,182
46,59
47,300
48,25
49,124
50,274
51,133
52,118
53,111
54,66
55,173
56,142
57,295
58,41
59,63
60,145
61,11
62,76
63,128
64,183
65,266
66,140
67,68
68,179
69,102
70,42
71,150
72,297
73,48
74,164
75,184
76,19
77,243
