,nets
0,263
1,173
2,25
3,135
4,276
5,124
6,271
7,120
8,115
9,97
10,247
11,229
12,79
13,174
14,111
15,183
16,73
17,10
18,291
19,272
20,285
21,27
22,171
23,197
24,241
25,280
26,49
27,87
28,33
29,264
30,100
31,219
32,261
33,6
34,16
35,282
36,204
37,19
38,225
39,213
40,107
41,74
42,123
43,101
44,158
45,205
46,227
47,155
48,77
49,40
50,142
51,267
52,78
53,228
54,206
55,216
56,29
57,199
58,157
59,46
60,127
61,11
62,106
63,299
64,166
65,31
66,70
67,113
68,234
69,243
70,274
71,138
72,292
73,129
74,170
75,251
76,295
77,131
78,207
79,278
80,230
81,143
82,286
83,290
84,51
85,62
86,238
87,181
88,105
89,269
90,103
91,163
92,91
93,277
94,26
95,95
