,nets
0,220
1,205
2,154
3,26
4,76
5,80
6,193
7,141
8,260
9,6
10,174
11,71
12,50
13,110
14,139
15,167
16,231
17,297
18,191
19,25
20,149
21,209
22,274
23,121
24,65
25,182
26,218
27,187
28,44
29,66
30,91
31,226
32,264
33,158
34,99
35,249
36,294
37,296
38,287
39,90
40,204
41,63
42,213
43,87
44,123
45,153
46,235
47,176
48,85
49,10
50,184
51,268
52,18
53,267
54,42
55,133
56,36
57,232
58,88
59,239
60,33
61,60
62,227
63,165
64,142
65,216
66,135
67,150
68,118
69,215
70,1
71,253
72,105
73,238
74,298
75,241
76,78
77,151
78,53
79,27
80,200
81,111
82,120
83,198
84,30
85,243
86,54
87,175
88,138
89,117
90,45
91,48
92,190
93,188
94,134
95,11
96,57
