,nets
0,117
1,54
2,253
3,158
4,197
5,227
6,76
7,119
8,265
9,247
10,148
11,142
12,25
13,12
14,298
15,48
16,16
17,24
18,214
19,32
20,168
21,15
22,292
23,212
24,293
25,186
26,139
27,92
28,68
29,3
30,208
31,150
32,66
33,118
34,113
35,217
36,112
37,89
38,213
39,236
40,135
41,98
42,202
43,159
44,198
45,246
46,239
47,126
48,243
49,203
50,147
51,94
52,67
53,219
54,259
55,244
56,59
57,103
58,200
59,149
60,84
61,137
62,29
63,96
64,261
65,83
66,45
67,238
68,221
69,235
70,234
71,5
72,140
73,251
74,46
75,20
76,53
77,230
78,178
79,86
80,290
81,154
82,14
