,nets
0,249
1,204
2,34
3,3
4,169
5,231
6,284
7,259
8,286
9,166
10,253
11,24
12,213
13,14
14,153
15,152
16,137
17,256
18,35
19,154
20,196
21,275
22,165
23,272
24,68
25,67
26,176
27,247
28,124
29,75
30,116
31,239
32,144
33,221
34,80
35,55
36,5
37,29
38,285
39,216
40,193
41,197
42,11
43,243
44,163
45,69
46,54
47,283
48,223
49,280
50,85
51,158
52,16
53,66
54,142
55,220
56,96
57,179
58,63
59,258
60,82
61,186
62,113
63,164
64,251
65,121
66,229
67,46
68,155
69,279
70,248
71,117
72,234
73,162
74,4
75,30
