,nets
0,174
1,228
2,43
3,10
4,63
5,21
6,24
7,15
8,201
9,275
10,92
11,185
12,245
13,192
14,251
15,50
16,11
17,141
18,135
19,300
20,186
21,93
22,206
23,195
24,161
25,136
26,247
27,176
28,269
29,180
30,147
31,157
32,207
33,98
34,287
35,290
36,61
37,122
38,95
39,233
40,281
41,3
42,57
43,40
44,258
45,295
46,145
47,169
48,234
49,101
50,54
51,215
52,286
53,7
54,105
55,137
56,243
57,39
58,193
59,58
60,41
61,223
62,221
63,37
64,182
65,87
66,62
67,55
68,51
69,148
70,244
71,263
72,296
73,139
74,227
75,230
76,236
77,140
78,183
