,nets
0,295
1,113
2,300
3,88
4,211
5,143
6,277
7,194
8,257
9,175
10,90
11,222
12,8
13,149
14,234
15,266
16,235
17,233
18,254
19,78
20,191
21,161
22,21
23,35
24,224
25,2
26,117
27,97
28,256
29,193
30,190
31,299
32,206
33,286
34,244
35,20
36,17
37,173
38,59
39,93
40,176
41,165
42,231
43,31
44,110
45,187
46,72
47,262
48,174
49,120
50,52
51,197
52,195
53,240
54,32
55,288
56,140
57,200
58,145
59,252
60,148
61,11
62,96
63,223
64,216
65,246
66,186
67,41
68,126
69,101
70,241
71,133
72,80
73,297
74,71
75,268
76,134
77,104
78,89
79,94
80,265
81,229
82,6
83,283
84,237
85,62
86,289
87,44
88,54
