,nets
0,122
1,96
2,50
3,172
4,136
5,137
6,160
7,91
8,238
9,74
10,170
11,285
12,208
13,200
14,103
15,254
16,78
17,281
18,207
19,149
20,293
21,155
22,90
23,107
24,16
25,110
26,135
27,63
28,52
29,213
30,196
31,77
32,26
33,179
34,10
35,76
36,8
37,239
38,15
39,41
40,202
41,250
42,45
43,287
44,81
45,275
46,228
47,94
48,272
49,282
50,206
51,104
52,143
53,241
54,82
55,223
56,131
57,23
58,274
59,17
60,174
61,73
62,182
63,158
64,176
65,259
66,85
67,253
68,300
69,237
70,203
71,183
72,171
73,28
74,36
75,175
76,134
77,258
78,199
79,44
80,168
81,162
82,1
83,93
84,87
85,88
86,277
87,84
88,30
89,70
90,195
91,49
92,25
93,145
