,nets
0,17
1,149
2,127
3,232
4,150
5,95
6,168
7,222
8,190
9,201
10,104
11,277
12,34
13,87
14,121
15,183
16,164
17,181
18,242
19,4
20,129
21,176
22,114
23,182
24,131
25,244
26,300
27,218
28,73
29,3
30,85
31,191
32,192
33,298
34,260
35,21
36,142
37,257
38,165
39,202
40,194
41,299
42,133
43,205
44,278
45,76
46,243
47,68
48,196
49,5
50,108
51,46
52,41
53,288
54,259
55,237
56,289
57,207
58,132
59,25
60,56
61,111
62,60
63,152
64,30
65,31
66,74
67,140
68,200
69,135
70,249
71,90
72,27
73,101
74,1
75,247
76,175
77,157
78,262
79,195
