,nets
0,47
1,166
2,185
3,91
4,285
5,111
6,129
7,235
8,300
9,123
10,174
11,198
12,290
13,106
14,72
15,297
16,204
17,104
18,13
19,182
20,224
21,205
22,274
23,161
24,93
25,158
26,89
27,167
28,193
29,248
30,289
31,57
32,156
33,140
34,217
35,73
36,192
37,211
38,180
39,127
40,179
41,7
42,30
43,58
44,61
45,138
46,36
47,63
48,223
49,164
50,2
51,109
52,133
53,215
54,6
55,255
56,87
57,24
58,239
59,135
60,250
61,286
62,244
63,84
64,48
65,163
66,291
67,226
68,132
69,125
70,221
71,280
72,128
73,80
74,141
75,74
76,175
77,114
78,34
79,214
80,296
81,196
82,195
83,40
84,213
85,172
