,nets
0,169
1,36
2,128
3,217
4,231
5,215
6,102
7,20
8,88
9,200
10,100
11,33
12,46
13,212
14,106
15,108
16,183
17,222
18,25
19,178
20,24
21,253
22,129
23,53
24,21
25,30
26,281
27,266
28,28
29,154
30,268
31,91
32,203
33,144
34,274
35,207
36,93
37,67
38,165
39,124
40,49
41,59
42,150
43,246
44,295
45,113
46,123
47,204
48,297
49,31
50,98
51,69
52,52
53,210
54,175
55,273
56,180
57,74
58,47
59,57
60,186
61,115
62,259
63,136
64,105
65,99
66,58
67,77
68,209
69,68
70,148
71,208
72,296
73,252
74,255
75,237
76,92
77,6
78,34
79,185
80,211
