,nets
0,185
1,94
2,46
3,287
4,263
5,36
6,107
7,100
8,196
9,118
10,187
11,257
12,291
13,95
14,3
15,27
16,244
17,224
18,275
19,221
20,169
21,229
22,272
23,32
24,202
25,296
26,191
27,31
28,266
29,73
30,250
31,153
32,114
33,104
34,93
35,33
36,147
37,267
38,194
39,210
40,88
41,176
42,193
43,290
44,190
45,21
46,53
47,85
48,211
49,223
50,121
51,67
52,52
53,171
54,87
55,280
56,208
57,91
58,227
59,150
60,177
61,81
62,79
63,226
64,35
65,45
66,4
67,62
68,154
69,192
70,209
71,158
72,248
73,83
74,260
75,127
76,264
