,nets
0,186
1,15
2,216
3,189
4,163
5,80
6,287
7,262
8,68
9,97
10,235
11,54
12,198
13,130
14,88
15,263
16,296
17,159
18,255
19,134
20,185
21,28
22,237
23,202
24,285
25,106
26,166
27,179
28,124
29,41
30,260
31,63
32,207
33,290
34,27
35,132
36,39
37,126
38,257
39,66
40,168
41,286
42,53
43,93
44,29
45,184
46,21
47,2
48,125
49,242
50,114
51,271
52,99
53,107
54,247
55,48
56,264
57,252
58,24
59,251
60,206
61,1
62,148
63,4
64,47
65,84
66,270
67,188
68,228
69,245
70,62
71,182
72,275
73,102
74,295
75,58
76,246
77,131
78,172
79,298
80,129
81,25
