,nets
0,105
1,269
2,47
3,205
4,258
5,167
6,206
7,5
8,244
9,197
10,235
11,159
12,56
13,201
14,156
15,183
16,186
17,109
18,276
19,233
20,273
21,232
22,82
23,19
24,126
25,168
26,43
27,104
28,166
29,66
30,180
31,93
32,16
33,96
34,83
35,214
36,129
37,266
38,247
39,243
40,155
41,253
42,165
43,220
44,137
45,215
46,89
47,65
48,103
49,6
50,74
51,162
52,225
53,63
54,217
55,279
56,32
57,292
58,196
59,138
60,133
61,142
62,116
63,40
64,241
65,267
66,48
67,17
68,207
69,278
70,256
71,9
72,286
73,28
74,21
75,134
76,10
77,299
78,182
79,259
80,144
81,121
82,140
83,265
84,262
85,69
86,283
87,237
