,nets
0,289
1,122
2,143
3,127
4,153
5,190
6,12
7,192
8,142
9,2
10,66
11,284
12,218
13,281
14,169
15,152
16,37
17,29
18,130
19,85
20,300
21,138
22,194
23,10
24,160
25,26
26,78
27,33
28,11
29,73
30,291
31,262
32,132
33,24
34,275
35,45
36,150
37,213
38,94
39,106
40,97
41,231
42,107
43,119
44,237
45,298
46,175
47,108
48,266
49,238
50,83
51,146
52,157
53,128
54,286
55,193
56,74
57,91
58,253
59,93
60,199
61,148
62,247
63,55
64,196
65,135
66,147
67,154
68,96
69,177
70,212
71,158
72,178
73,14
74,180
75,260
76,204
77,294
78,188
79,140
80,282
81,161
82,241
83,50
84,183
85,263
86,38
87,75
88,235
89,124
90,141
91,288
92,20
93,274
