,nets
0,210
1,59
2,247
3,170
4,90
5,61
6,194
7,238
8,114
9,193
10,123
11,189
12,46
13,200
14,85
15,276
16,65
17,192
18,157
19,286
20,25
21,128
22,33
23,74
24,107
25,146
26,53
27,89
28,5
29,99
30,102
31,60
32,135
33,118
34,106
35,30
36,167
37,256
38,154
39,267
40,70
41,242
42,278
43,121
44,213
45,101
46,233
47,235
48,195
49,245
50,204
51,163
52,21
53,205
54,72
55,78
56,35
57,134
58,300
59,119
60,269
61,297
62,273
63,83
64,151
65,108
66,125
67,172
68,232
69,190
70,145
71,296
72,264
73,171
74,92
75,226
76,289
77,237
78,271
79,150
