,nets
0,125
1,209
2,279
3,212
4,184
5,173
6,114
7,2
8,269
9,23
10,213
11,242
12,178
13,186
14,127
15,292
16,152
17,1
18,159
19,179
20,162
21,158
22,165
23,182
24,297
25,46
26,44
27,286
28,210
29,107
30,119
31,70
32,208
33,246
34,87
35,27
36,168
37,191
38,81
39,29
40,263
41,13
42,91
43,285
44,183
45,189
46,73
47,22
48,211
49,257
50,60
51,72
52,39
53,106
54,171
55,265
56,131
57,65
58,111
59,63
60,122
61,76
62,157
63,193
64,47
65,71
66,6
67,194
68,15
69,255
70,51
71,244
72,176
73,4
74,30
75,31
76,112
77,185
78,82
79,238
80,175
81,45
