,nets
0,164
1,157
2,240
3,229
4,228
5,120
6,227
7,69
8,177
9,79
10,281
11,231
12,112
13,286
14,93
15,191
16,241
17,117
18,214
19,247
20,203
21,188
22,140
23,124
24,176
25,178
26,158
27,81
28,235
29,136
30,13
31,182
32,18
33,226
34,295
35,130
36,53
37,279
38,256
39,62
40,5
41,299
42,77
43,73
44,264
45,173
46,243
47,145
48,135
49,70
50,225
51,99
52,97
53,204
54,100
55,80
56,46
57,208
58,294
59,245
60,159
61,122
62,96
63,207
64,298
65,160
66,254
67,72
68,156
69,187
70,210
71,3
72,193
73,82
74,166
75,287
76,30
77,19
78,32
79,297
80,292
81,133
82,270
83,211
84,186
85,185
86,148
87,233
88,170
89,78
90,237
91,107
92,215
93,238
94,59
95,76
96,175
97,192
