,nets
0,73
1,91
2,174
3,117
4,67
5,4
6,210
7,65
8,154
9,52
10,124
11,229
12,6
13,120
14,119
15,212
16,31
17,176
18,95
19,288
20,105
21,2
22,15
23,223
24,37
25,254
26,108
27,57
28,267
29,282
30,186
31,121
32,16
33,235
34,56
35,39
36,286
37,220
38,83
39,111
40,136
41,97
42,232
43,251
44,278
45,139
46,122
47,50
48,277
49,205
50,200
51,289
52,173
53,206
54,43
55,107
56,204
57,10
58,248
59,9
60,276
61,114
62,141
63,291
64,100
65,3
66,295
67,42
68,274
69,74
70,1
71,191
72,138
73,48
74,38
75,84
76,7
77,58
78,76
79,151
80,259
81,75
82,197
83,82
84,226
85,71
86,94
87,63
