,nets
0,295
1,117
2,149
3,251
4,258
5,71
6,72
7,274
8,255
9,155
10,193
11,184
12,236
13,239
14,168
15,249
16,3
17,265
18,1
19,21
20,180
21,29
22,81
23,109
24,196
25,114
26,285
27,119
28,82
29,262
30,115
31,47
32,138
33,30
34,161
35,86
36,121
37,14
38,75
39,9
40,224
41,87
42,156
43,276
44,268
45,20
46,231
47,287
48,229
49,284
50,243
51,69
52,183
53,281
54,169
55,53
56,105
57,244
58,270
59,175
60,203
61,50
62,61
63,111
64,300
65,185
66,152
67,147
68,131
69,240
70,266
71,162
72,171
73,91
74,60
75,279
76,102
77,92
78,202
79,178
80,113
81,233
82,164
83,282
84,120
85,95
86,43
87,297
88,110
89,2
90,278
91,294
92,54
93,189
94,140
