,nets
0,33
1,10
2,68
3,241
4,219
5,149
6,138
7,128
8,113
9,56
10,38
11,217
12,271
13,300
14,186
15,123
16,51
17,209
18,234
19,210
20,133
21,288
22,153
23,285
24,147
25,46
26,65
27,99
28,277
29,118
30,290
31,159
32,52
33,218
34,235
35,150
36,26
37,239
38,157
39,279
40,97
41,165
42,130
43,62
44,1
45,247
46,264
47,225
48,208
49,189
50,158
51,57
52,88
53,237
54,87
55,193
56,106
57,71
58,92
59,194
60,297
61,267
62,203
63,176
64,9
65,162
66,4
67,50
68,171
69,17
70,137
71,79
72,8
73,155
74,132
75,115
76,101
77,223
78,250
79,233
80,213
81,146
82,278
83,78
84,184
85,93
86,129
