,Unnamed: 0,x,y,class,realclass
114,114,0.8940072537154929,0.21444387792828126,1,1
112,112,0.3713402651798032,0.07383187256388046,1,1
82,82,0.2564800508545525,0.1556031548632698,1,1
52,52,0.2719278374246771,0.9191686886305998,0,0
70,70,0.06203326777409135,0.4629425414683851,0,0
100,100,0.8660139862794075,0.7736533783977599,0,0
58,58,0.948893654079616,0.6110360575087446,1,1
28,28,0.7012736172332479,0.07182774189393948,0,1
92,92,0.1588679040985248,0.5864176206842636,0,0
32,32,0.7062264858625882,0.7874182101095152,1,0
78,78,0.172100646942701,0.2398086935337411,1,1
32,32,0.7062264858625882,0.7874182101095152,1,0
64,64,0.908696192861536,0.2429046998826756,1,1
34,34,0.7033197579781679,0.17581464706318572,0,1
14,14,0.6308905941545847,0.5064476986467743,0,1
2,2,0.44791979980060215,0.3184887369199609,1,0
94,94,0.8473875895186477,0.5877592354272737,1,1
80,80,0.02404432716741212,0.3136361609077407,1,1
12,12,0.3873081336593579,0.31845368366491755,1,0
14,14,0.6308905941545847,0.5064476986467743,0,1
106,106,0.8075775971047588,0.7292583276819877,0,0
118,118,0.8001111554969652,0.2816115079989609,1,1
90,90,0.7643476469335556,0.2298139800395419,1,1
96,96,0.6300640766411579,0.7875035828108031,0,0
94,94,0.8473875895186477,0.5877592354272737,1,1
8,8,0.22647529063859465,0.7289548844129679,1,0
14,14,0.6308905941545847,0.5064476986467743,0,1
16,16,0.9448645291386912,0.01120348606530952,0,1
74,74,0.3989577537091717,0.3948054424265498,0,0
12,12,0.3873081336593579,0.31845368366491755,1,0
108,108,0.6103767287124373,0.640158398178649,0,0
112,112,0.3713402651798032,0.07383187256388046,1,1
80,80,0.02404432716741212,0.3136361609077407,1,1
18,18,0.07616900754057931,0.5769339100426898,1,0
4,4,0.9307729610869862,0.8490165086112005,1,0
62,62,0.755152080700534,0.9777708116902456,0,0
112,112,0.3713402651798032,0.07383187256388046,1,1
32,32,0.7062264858625882,0.7874182101095152,1,0
92,92,0.1588679040985248,0.5864176206842636,0,0
88,88,0.14566607255308062,0.06373439286187332,1,1
32,32,0.7062264858625882,0.7874182101095152,1,0
58,58,0.948893654079616,0.6110360575087446,1,1
44,44,0.0155030510401023,0.2485798307445116,0,1
96,96,0.6300640766411579,0.7875035828108031,0,0
54,54,0.5014738887016406,0.9589815068811964,0,0
92,92,0.1588679040985248,0.5864176206842636,0,0
22,22,0.3320191775455632,0.4968525430015025,1,0
0,0,0.020960225406117416,0.7737893602916518,1,0
20,20,0.07008015635852494,0.6811053320620737,1,0
18,18,0.07616900754057931,0.5769339100426898,1,0
46,46,0.6681552358686719,0.2810706564264851,0,1
14,14,0.6308905941545847,0.5064476986467743,0,1
30,30,0.028406023241866807,0.9918999557552668,1,0
70,70,0.06203326777409135,0.4629425414683851,0,0
30,30,0.028406023241866807,0.9918999557552668,1,0
100,100,0.8660139862794075,0.7736533783977599,0,0
76,76,0.8978597303169521,0.19890666689344286,1,1
26,26,0.473397081648166,0.06254653022966916,0,1
8,8,0.22647529063859465,0.7289548844129679,1,0
12,12,0.3873081336593579,0.31845368366491755,1,0
