,nets
0,261
1,88
2,142
3,73
4,241
5,28
6,78
7,100
8,146
9,227
10,143
11,148
12,137
13,270
14,189
15,134
16,240
17,215
18,173
19,112
20,198
21,223
22,135
23,40
24,234
25,180
26,4
27,228
28,167
29,175
30,262
31,87
32,285
33,123
34,259
35,289
36,284
37,168
38,109
39,276
40,119
41,225
42,72
43,106
44,122
45,280
46,107
47,237
48,96
49,196
50,90
51,138
52,126
53,110
54,136
55,272
56,208
57,236
58,185
59,76
60,231
61,58
62,20
63,43
64,170
65,264
66,298
67,268
68,255
69,21
70,199
71,64
72,249
73,171
74,27
75,6
76,286
77,220
78,210
79,149
80,10
81,257
82,70
83,115
84,244
85,8
86,269
87,3
88,94
89,295
90,277
91,219
92,132
93,275
94,129
95,80
96,263
97,125
