,nets
0,52
1,256
2,67
3,222
4,247
5,81
6,79
7,37
8,179
9,198
10,293
11,295
12,166
13,15
14,291
15,90
16,158
17,75
18,112
19,140
20,274
21,159
22,215
23,230
24,83
25,290
26,255
27,129
28,233
29,116
30,170
31,149
32,91
33,191
34,218
35,35
36,70
37,155
38,246
39,51
40,88
41,143
42,242
43,42
44,141
45,262
46,132
47,121
48,183
49,165
50,130
51,275
52,196
53,120
54,177
55,18
56,93
57,260
58,142
59,17
60,286
61,59
62,156
63,211
64,57
65,87
66,265
67,298
68,10
69,73
70,195
71,133
72,77
73,248
74,176
75,269
76,163
77,201
78,128
79,288
80,23
81,234
82,60
83,127
84,137
85,3
86,45
87,160
88,175
89,186
