,nets
0,5
1,221
2,38
3,39
4,294
5,125
6,194
7,140
8,260
9,30
10,61
11,68
12,214
13,159
14,32
15,62
16,116
17,299
18,114
19,130
20,143
21,215
22,2
23,212
24,256
25,240
26,1
27,56
28,287
29,245
30,189
31,225
32,182
33,41
34,71
35,171
36,270
37,155
38,138
39,90
40,106
41,186
42,279
43,290
44,100
45,54
46,269
47,156
48,88
49,300
50,154
51,281
52,206
53,70
54,16
55,122
56,295
57,4
58,35
59,110
60,77
61,131
62,184
63,14
64,173
65,255
66,249
67,52
68,219
69,211
70,139
71,292
72,160
73,66
74,99
75,136
76,7
77,234
78,261
79,152
80,96
