,nets
0,225
1,58
2,43
3,48
4,136
5,221
6,169
7,228
8,57
9,297
10,224
11,119
12,165
13,170
14,250
15,274
16,173
17,163
18,188
19,164
20,140
21,35
22,247
23,139
24,15
25,146
26,298
27,26
28,299
29,246
30,171
31,211
32,44
33,109
34,189
35,264
36,249
37,82
38,159
39,103
40,265
41,286
42,128
43,56
44,42
45,160
46,124
47,214
48,179
49,49
50,288
51,209
52,51
53,68
54,71
55,144
56,50
57,253
58,202
59,236
60,201
61,158
62,105
63,138
64,100
65,81
66,29
67,154
68,89
69,90
70,183
71,85
72,279
73,126
74,37
75,97
76,30
77,69
78,79
79,125
80,157
81,174
82,293
83,182
84,208
85,184
86,241
87,53
88,145
89,7
90,94
91,263
