,nets
0,178
1,79
2,46
3,103
4,244
5,130
6,1
7,85
8,139
9,266
10,25
11,107
12,6
13,186
14,225
15,185
16,32
17,106
18,15
19,37
20,77
21,264
22,272
23,166
24,142
25,125
26,232
27,297
28,288
29,200
30,157
31,219
32,238
33,293
34,262
35,71
36,36
37,94
38,169
39,129
40,84
41,10
42,66
43,30
44,221
45,193
46,4
47,29
48,276
49,162
50,51
51,98
52,102
53,89
54,260
55,258
56,226
57,194
58,160
59,23
60,199
61,300
62,144
63,100
64,171
65,86
66,120
67,117
68,283
69,69
70,80
71,41
72,294
73,192
74,298
75,158
76,289
77,43
78,16
79,101
80,251
81,250
82,220
