,nets
0,134
1,235
2,272
3,245
4,48
5,243
6,270
7,149
8,217
9,82
10,130
11,240
12,279
13,56
14,13
15,227
16,185
17,193
18,31
19,111
20,51
21,92
22,109
23,210
24,116
25,233
26,299
27,107
28,258
29,181
30,37
31,126
32,143
33,173
34,213
35,264
36,59
37,30
38,167
39,274
40,45
41,71
42,44
43,288
44,247
45,136
46,191
47,57
48,39
49,281
50,162
51,89
52,296
53,169
54,113
55,215
56,147
57,123
58,267
59,300
60,204
61,22
62,157
63,110
64,106
65,293
66,197
67,206
68,174
69,97
70,17
71,4
72,178
73,214
74,83
75,211
76,62
77,260
78,41
