,nets
0,68
1,110
2,39
3,26
4,299
5,170
6,234
7,85
8,269
9,189
10,179
11,15
12,72
13,246
14,180
15,245
16,45
17,83
18,37
19,268
20,146
21,288
22,160
23,128
24,123
25,221
26,289
27,114
28,266
29,145
30,63
31,186
32,115
33,18
34,233
35,25
36,172
37,244
38,243
39,112
40,96
41,207
42,169
43,28
44,183
45,100
46,192
47,267
48,232
49,173
50,149
51,286
52,250
53,54
54,264
55,10
56,52
57,46
58,203
59,50
60,53
61,103
62,124
63,132
64,165
65,148
66,135
67,127
68,95
69,86
70,130
71,287
72,209
73,81
74,194
75,300
76,91
77,216
78,191
79,67
80,290
81,296
82,239
83,44
84,38
85,49
86,284
