,nets
0,99
1,277
2,139
3,55
4,228
5,293
6,2
7,91
8,13
9,103
10,269
11,263
12,149
13,20
14,279
15,219
16,208
17,282
18,3
19,214
20,17
21,144
22,145
23,177
24,115
25,185
26,281
27,174
28,41
29,44
30,287
31,272
32,257
33,148
34,26
35,95
36,47
37,14
38,105
39,200
40,61
41,9
42,75
43,271
44,178
45,84
46,113
47,285
48,54
49,262
50,15
51,202
52,102
53,196
54,67
55,270
56,138
57,101
58,98
59,290
60,30
61,207
62,93
63,157
64,237
65,118
66,21
67,166
68,109
69,65
70,6
71,97
72,217
73,241
74,258
75,245
76,143
77,129
78,128
79,169
80,211
81,181
82,100
83,216
84,162
85,92
86,167
87,150
88,171
89,134
90,79
91,206
92,221
93,76
94,34
95,24
96,48
97,142
