,nets
0,156
1,185
2,106
3,215
4,44
5,278
6,187
7,59
8,225
9,296
10,273
11,228
12,103
13,117
14,172
15,10
16,171
17,78
18,131
19,87
20,16
21,272
22,136
23,13
24,94
25,32
26,269
27,295
28,164
29,119
30,49
31,115
32,28
33,292
34,29
35,253
36,89
37,260
38,52
39,211
40,299
41,200
42,141
43,133
44,30
45,15
46,232
47,47
48,152
49,36
50,146
51,17
52,98
53,220
54,281
55,294
56,26
57,291
58,37
59,100
60,195
61,197
62,3
63,226
64,35
65,75
66,256
67,134
68,276
69,22
70,259
71,107
72,283
73,287
74,41
75,237
76,56
77,167
78,62
79,76
80,227
81,108
82,153
83,231
84,236
85,135
86,158
87,277
88,168
89,24
90,266
