,nets
0,213
1,11
2,50
3,142
4,169
5,206
6,43
7,261
8,154
9,136
10,238
11,9
12,235
13,258
14,17
15,184
16,140
17,229
18,168
19,212
20,101
21,269
22,292
23,66
24,204
25,46
26,251
27,276
28,149
29,226
30,129
31,133
32,234
33,14
34,242
35,279
36,195
37,13
38,284
39,257
40,128
41,137
42,81
43,57
44,83
45,21
46,44
47,31
48,145
49,278
50,165
51,36
52,275
53,15
54,192
55,300
56,250
57,58
58,19
59,74
60,287
61,156
62,159
63,240
64,266
65,252
66,194
67,125
68,217
69,172
70,210
71,42
72,164
73,144
74,150
75,41
76,33
77,71
