,nets
0,239
1,49
2,297
3,218
4,78
5,111
6,7
7,222
8,252
9,119
10,168
11,152
12,96
13,87
14,253
15,170
16,21
17,106
18,284
19,4
20,169
21,6
22,73
23,290
24,279
25,193
26,60
27,201
28,260
29,61
30,117
31,45
32,141
33,167
34,300
35,83
36,278
37,122
38,265
39,243
40,76
41,115
42,275
43,289
44,64
45,270
46,269
47,163
48,68
49,58
50,240
51,27
52,85
53,97
54,46
55,139
56,12
57,129
58,2
59,48
60,1
61,232
62,203
63,217
64,82
65,178
66,112
67,110
68,209
69,57
70,220
71,293
72,114
73,281
74,70
75,258
76,120
77,291
78,208
79,148
