,nets
0,110
1,72
2,168
3,158
4,52
5,4
6,220
7,211
8,103
9,40
10,186
11,41
12,97
13,298
14,159
15,119
16,260
17,184
18,275
19,73
20,294
21,259
22,165
23,245
24,112
25,142
26,226
27,128
28,131
29,289
30,39
31,86
32,94
33,68
34,105
35,234
36,286
37,262
38,190
39,228
40,201
41,272
42,34
43,90
44,219
45,199
46,297
47,212
48,281
49,48
50,23
51,166
52,122
53,276
54,8
55,236
56,6
57,79
58,160
59,15
60,270
61,19
62,230
63,61
64,55
65,161
66,242
67,150
68,282
69,274
70,45
71,124
72,104
73,30
74,151
75,254
76,218
77,268
78,78
79,63
80,277
81,258
82,192
83,215
84,132
85,188
86,209
