,nets
0,83
1,78
2,238
3,87
4,93
5,261
6,284
7,259
8,187
9,109
10,198
11,242
12,111
13,122
14,229
15,3
16,94
17,34
18,296
19,199
20,210
21,245
22,231
23,153
24,135
25,285
26,35
27,179
28,214
29,95
30,47
31,72
32,279
33,280
34,115
35,49
36,258
37,89
38,13
39,104
40,235
41,31
42,213
43,138
44,297
45,278
46,173
47,43
48,142
49,30
50,192
51,112
52,189
53,171
54,169
55,107
56,108
57,27
58,70
59,119
60,283
61,234
62,157
63,124
64,99
65,273
66,98
67,184
68,230
69,65
70,162
71,177
72,221
73,86
74,42
75,12
76,88
77,207
78,55
79,298
80,271
81,188
82,217
83,269
84,175
85,134
86,257
87,195
88,127
89,118
90,223
91,85
92,97
