,nets
0,12
1,256
2,240
3,116
4,97
5,209
6,224
7,55
8,191
9,111
10,9
11,214
12,91
13,187
14,199
15,255
16,192
17,80
18,131
19,280
20,147
21,93
22,115
23,299
24,70
25,21
26,241
27,175
28,250
29,177
30,81
31,90
32,284
33,189
34,274
35,128
36,236
37,42
38,92
39,232
40,74
41,165
42,28
43,225
44,174
45,121
46,196
47,112
48,148
49,218
50,228
51,63
52,221
53,6
54,22
55,87
56,168
57,26
58,125
59,270
60,86
61,140
62,190
63,215
64,222
65,53
66,203
67,138
68,180
69,129
70,77
71,285
72,182
73,144
74,243
75,273
76,88
77,135
78,137
79,85
80,32
