,nets
0,142
1,160
2,225
3,131
4,92
5,135
6,126
7,147
8,166
9,290
10,69
11,191
12,19
13,236
14,52
15,144
16,264
17,208
18,276
19,250
20,151
21,170
22,143
23,206
24,241
25,200
26,211
27,248
28,219
29,164
30,271
31,267
32,272
33,249
34,127
35,255
36,259
37,270
38,49
39,76
40,268
41,56
42,112
43,109
44,89
45,63
46,203
47,228
48,189
49,35
50,227
51,223
52,11
53,13
54,174
55,165
56,118
57,123
58,23
59,121
60,110
61,50
62,238
63,29
64,26
65,287
66,7
67,14
68,171
69,130
70,44
71,280
72,116
73,288
74,258
75,105
76,263
77,140
78,85
79,75
80,285
81,83
82,20
83,74
