,nets
0,15
1,135
2,37
3,210
4,230
5,104
6,278
7,182
8,262
9,212
10,140
11,204
12,259
13,62
14,251
15,6
16,287
17,72
18,146
19,32
20,248
21,46
22,282
23,277
24,136
25,207
26,267
27,255
28,286
29,291
30,74
31,274
32,107
33,273
34,89
35,50
36,17
37,202
38,76
39,61
40,102
41,249
42,45
43,271
44,91
45,186
46,98
47,227
48,118
49,252
50,237
51,196
52,296
53,144
54,27
55,170
56,266
57,134
58,156
59,113
60,161
61,221
62,35
63,299
64,43
65,143
66,145
67,110
68,120
69,217
70,81
71,191
72,53
73,80
74,285
75,10
76,78
77,265
78,67
79,133
80,254
81,183
82,238
83,128
84,68
85,264
86,194
87,159
88,288
89,231
90,168
