,nets
0,242
1,285
2,151
3,19
4,34
5,30
6,223
7,61
8,272
9,286
10,98
11,215
12,267
13,84
14,192
15,243
16,208
17,77
18,48
19,158
20,269
21,167
22,149
23,159
24,4
25,113
26,160
27,125
28,122
29,136
30,1
31,249
32,200
33,146
34,279
35,166
36,63
37,131
38,129
39,150
40,162
41,152
42,175
43,16
44,205
45,251
46,53
47,246
48,196
49,135
50,264
51,23
52,155
53,255
54,221
55,29
56,153
57,203
58,194
59,222
60,226
61,224
62,95
63,68
64,265
65,296
66,140
67,13
68,49
69,209
70,234
71,165
72,283
73,276
74,240
75,270
76,161
77,187
78,130
