,nets
0,141
1,60
2,88
3,222
4,80
5,238
6,79
7,36
8,226
9,236
10,105
11,66
12,153
13,78
14,127
15,16
16,121
17,151
18,35
19,50
20,116
21,166
22,111
23,206
24,255
25,112
26,279
27,5
28,257
29,54
30,64
31,269
32,234
33,263
34,22
35,243
36,99
37,266
38,83
39,296
40,235
41,212
42,134
43,156
44,237
45,239
46,230
47,24
48,90
49,11
50,202
51,39
52,17
53,221
54,38
55,210
56,260
57,81
58,185
59,102
60,98
61,264
62,119
63,140
64,182
65,58
66,72
67,253
68,290
69,183
70,3
71,299
72,195
73,91
74,244
75,26
76,123
77,42
78,20
79,180
80,219
81,249
82,2
83,100
84,165
85,97
86,225
87,9
88,4
89,137
90,62
91,242
92,12
93,191
94,76
95,171
96,96
