,nets
0,168
1,231
2,145
3,134
4,203
5,278
6,132
7,234
8,240
9,171
10,32
11,225
12,161
13,68
14,53
15,175
16,27
17,87
18,290
19,245
20,206
21,129
22,107
23,90
24,239
25,39
26,12
27,56
28,41
29,4
30,293
31,135
32,3
33,214
34,111
35,265
36,110
37,227
38,209
39,38
40,270
41,149
42,237
43,94
44,141
45,77
46,262
47,136
48,114
49,266
50,286
51,118
52,113
53,70
54,250
55,211
56,92
57,20
58,11
59,120
60,29
61,151
62,19
63,54
64,74
65,67
66,197
67,296
68,281
69,28
70,273
71,147
72,103
73,122
74,98
75,124
76,43
77,260
78,83
79,78
80,131
81,205
82,7
83,256
84,25
85,73
86,97
87,9
88,126
89,228
90,10
91,58
92,275
93,244
