,nets
0,270
1,62
2,34
3,219
4,174
5,57
6,195
7,108
8,19
9,136
10,178
11,55
12,47
13,20
14,128
15,224
16,101
17,249
18,173
19,286
20,244
21,17
22,153
23,167
24,105
25,265
26,289
27,227
28,156
29,24
30,212
31,231
32,97
33,58
34,83
35,233
36,33
37,158
38,25
39,118
40,46
41,138
42,50
43,71
44,218
45,263
46,107
47,240
48,207
49,225
50,39
51,258
52,96
53,90
54,95
55,237
56,211
57,157
58,76
59,16
60,246
61,164
62,217
63,165
64,5
65,11
66,103
67,229
68,298
69,226
70,125
71,279
72,252
73,126
74,36
75,255
76,299
77,188
78,228
79,148
80,28
81,216
82,94
83,284
84,6
85,112
86,67
