,nets
0,216
1,115
2,189
3,166
4,191
5,105
6,152
7,282
8,269
9,85
10,239
11,2
12,164
13,268
14,220
15,36
16,161
17,219
18,253
19,251
20,12
21,83
22,252
23,66
24,133
25,174
26,230
27,257
28,14
29,138
30,151
31,231
32,297
33,228
34,208
35,195
36,59
37,118
38,285
39,153
40,92
41,127
42,236
43,110
44,291
45,93
46,241
47,98
48,126
49,145
50,48
51,30
52,28
53,192
54,255
55,69
56,172
57,112
58,299
59,32
60,238
61,254
62,249
63,190
64,39
65,193
66,235
67,119
68,16
69,90
70,277
71,198
72,270
73,87
74,116
75,74
76,86
77,35
78,53
79,146
