,nets
0,5
1,158
2,164
3,65
4,289
5,170
6,131
7,34
8,152
9,53
10,103
11,125
12,100
13,52
14,182
15,185
16,285
17,188
18,101
19,209
20,29
21,19
22,201
23,60
24,133
25,25
26,124
27,165
28,132
29,202
30,212
31,214
32,223
33,296
34,140
35,109
36,266
37,67
38,46
39,257
40,148
41,38
42,215
43,76
44,175
45,146
46,186
47,82
48,145
49,163
50,156
51,98
52,33
53,162
54,28
55,299
56,30
57,62
58,147
59,227
60,128
61,78
62,40
63,172
64,268
65,193
66,177
67,235
68,204
69,87
70,107
71,97
72,24
73,135
74,171
75,178
76,169
77,83
78,173
79,195
80,32
81,18
82,3
83,179
84,194
