,nets
0,10
1,90
2,281
3,101
4,134
5,102
6,208
7,242
8,51
9,297
10,15
11,163
12,226
13,273
14,183
15,291
16,173
17,299
18,238
19,159
20,295
21,157
22,231
23,145
24,25
25,11
26,66
27,298
28,58
29,18
30,290
31,188
32,268
33,126
34,187
35,23
36,115
37,237
38,88
39,69
40,270
41,119
42,171
43,185
44,155
45,27
46,274
47,279
48,192
49,57
50,64
51,85
52,47
53,168
54,31
55,276
56,283
57,107
58,180
59,20
60,293
61,65
62,239
63,93
64,292
65,170
66,37
67,28
68,87
69,294
70,22
71,117
72,2
73,266
74,13
75,259
76,197
77,240
78,207
79,248
80,111
