,nets
0,276
1,75
2,164
3,44
4,13
5,72
6,128
7,135
8,224
9,38
10,18
11,270
12,83
13,231
14,35
15,196
16,241
17,158
18,252
19,102
20,300
21,33
22,70
23,230
24,180
25,280
26,28
27,114
28,239
29,207
30,132
31,1
32,64
33,283
34,157
35,213
36,172
37,82
38,50
39,166
40,284
41,289
42,8
43,80
44,84
45,184
46,190
47,150
48,87
49,178
50,14
51,57
52,161
53,54
54,171
55,29
56,65
57,10
58,156
59,12
60,90
61,291
62,285
63,165
64,3
65,246
66,133
67,212
68,286
69,5
70,143
71,265
72,273
73,25
74,96
75,94
76,266
77,119
78,294
79,144
80,134
81,113
82,250
83,123
84,292
85,235
86,298
87,116
88,58
89,142
90,243
91,43
92,39
