,nets
0,57
1,177
2,132
3,73
4,276
5,34
6,33
7,186
8,273
9,157
10,299
11,253
12,217
13,265
14,274
15,283
16,85
17,21
18,164
19,291
20,135
21,142
22,222
23,24
24,198
25,240
26,185
27,228
28,45
29,76
30,27
31,67
32,149
33,244
34,43
35,96
36,166
37,161
38,294
39,16
40,247
41,256
42,51
43,264
44,226
45,183
46,97
47,5
48,6
49,246
50,26
51,50
52,10
53,266
54,113
55,230
56,208
57,277
58,12
59,232
60,79
61,297
62,181
63,129
64,109
65,154
66,280
67,134
68,259
69,272
70,133
71,174
72,171
73,122
74,176
75,227
76,249
77,118
78,117
79,270
80,143
81,28
82,112
83,102
84,84
85,257
86,52
87,148
88,300
89,82
90,194
91,94
92,110
93,225
94,64
95,255
96,224
97,201
98,190
