,nets
0,47
1,215
2,290
3,225
4,156
5,53
6,73
7,23
8,164
9,174
10,72
11,231
12,106
13,293
14,26
15,201
16,200
17,198
18,113
19,37
20,214
21,176
22,41
23,228
24,74
25,248
26,66
27,206
28,239
29,98
30,117
31,251
32,132
33,85
34,6
35,12
36,224
37,243
38,114
39,105
40,294
41,284
42,30
43,233
44,184
45,16
46,82
47,135
48,169
49,263
50,282
51,218
52,245
53,236
54,83
55,207
56,242
57,14
58,122
59,221
60,93
61,34
62,109
63,253
64,194
65,179
66,219
67,203
68,2
69,125
70,27
71,131
72,196
73,246
74,86
75,4
76,68
77,220
78,211
