,nets
0,31
1,235
2,68
3,280
4,116
5,89
6,204
7,25
8,229
9,158
10,106
11,191
12,16
13,246
14,176
15,126
16,95
17,152
18,4
19,276
20,44
21,185
22,265
23,200
24,171
25,260
26,69
27,247
28,143
29,141
30,299
31,92
32,256
33,147
34,193
35,127
36,60
37,84
38,270
39,269
40,189
41,237
42,100
43,262
44,173
45,206
46,199
47,277
48,136
49,74
50,53
51,295
52,232
53,119
54,205
55,58
56,111
57,36
58,77
59,209
60,251
61,79
62,263
63,224
64,33
65,5
66,66
67,134
68,128
69,19
70,297
71,197
72,55
73,102
74,139
75,32
