,nets
0,29
1,258
2,181
3,269
4,149
5,142
6,275
7,227
8,77
9,99
10,70
11,52
12,193
13,44
14,59
15,96
16,223
17,228
18,281
19,110
20,154
21,294
22,298
23,11
24,186
25,213
26,187
27,201
28,299
29,280
30,3
31,266
32,2
33,73
34,168
35,1
36,283
37,75
38,79
39,93
40,276
41,60
42,43
43,177
44,150
45,116
46,215
47,184
48,198
49,36
50,9
51,210
52,103
53,131
54,250
55,170
56,261
57,204
58,243
59,123
60,130
61,83
62,71
63,290
64,15
65,37
66,137
67,263
68,35
69,119
70,143
71,128
72,278
73,247
74,273
75,49
76,233
77,220
78,152
79,293
80,72
81,191
82,175
83,219
84,292
85,173
86,20
87,183
88,124
89,63
90,10
