,nets
0,252
1,33
2,237
3,112
4,55
5,51
6,177
7,52
8,225
9,31
10,109
11,25
12,264
13,49
14,19
15,262
16,12
17,174
18,184
19,124
20,283
21,79
22,208
23,69
24,63
25,4
26,68
27,275
28,38
29,23
30,195
31,66
32,133
33,285
34,165
35,273
36,88
37,236
38,72
39,197
40,154
41,125
42,294
43,232
44,228
45,219
46,183
47,71
48,91
49,102
50,43
51,269
52,270
53,265
54,248
55,212
56,3
57,175
58,213
59,241
60,65
61,235
62,60
63,187
64,147
65,170
66,37
67,223
68,226
69,227
70,26
71,113
72,73
73,207
74,162
75,86
76,59
